sample percentage, time elapsed, plan quality, max dq achieved on sample
5,69.3,8.5,0.98
10,56,8.5,1.0
15,78.2,10.0,0.97
20,70.6,9.0,0.96
25,65.0,8.5,0.95
30,73.1,9.0,0.96
35,71.6,8.5,0.96
40,78.0,9.5,0.95
45,75.2,9.0,0.94
50,81.0,9.5,0.96
